Log file started Fri Feb 25 13:04:04 2011
Fri Feb 25 13:04:04 2011: WSAStartup OK
Fri Feb 25 13:04:04 2011: Server's information: IP address: 127.0.0.1, port: 30004
Fri Feb 25 13:04:04 2011: No net interface given, using any interface available
Fri Feb 25 13:04:04 2011: No port defined, picking one for you
Fri Feb 25 13:04:04 2011: Opening UDP port = 1612
Fri Feb 25 13:04:04 2011: CArmyWar::Connect
Fri Feb 25 13:04:21 2011: LIBRARY: Client: got connect confirmation
Fri Feb 25 13:04:21 2011: LIBRARY: Client: adding a client
Fri Feb 25 13:04:21 2011: App: Client: Adding client with index 1
Fri Feb 25 13:04:21 2011: App: Client: Adding first client
Fri Feb 25 13:04:21 2011: App: Client: This one is local
Fri Feb 25 13:04:21 2011: Reading NONDELTAFRAME for client 1
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
Fri Feb 25 13:05:00 2011: Error code 10054: recvfrom() : Unknown error
