Log file started Wed Mar 09 21:46:16 2011
Wed Mar 09 21:46:16 2011: WSAStartup OK
Wed Mar 09 21:46:16 2011: Initialising game
Wed Mar 09 21:46:16 2011: No net interface given, using any interface available
Wed Mar 09 21:46:16 2011: Opening UDP port = 30004
Wed Mar 09 21:46:21 2011: LIB: Adding client, index 1
Wed Mar 09 21:46:21 2011: LIB: Server: Adding first client
Wed Mar 09 21:46:21 2011: LIBRARY: Server: a client connected succesfully
Wed Mar 09 21:46:21 2011: App: Server: Adding first client
Wed Mar 09 21:46:23 2011: server setupBody x: 0.000000
Wed Mar 09 21:46:23 2011: server setupBody y: 5.000000
Wed Mar 09 21:46:23 2011: server setupBody z: 0.000000
Wed Mar 09 21:46:35 2011: Client 1: read CMD_KEY (1)
Wed Mar 09 21:46:35 2011: updateBody x 0.047869
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 0.302233
Wed Mar 09 21:46:35 2011: updateBody x 0.134773
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 0.577857
Wed Mar 09 21:46:35 2011: updateBody x 0.435027
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.031491
Wed Mar 09 21:46:35 2011: updateBody x 0.683020
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.288295
Wed Mar 09 21:46:35 2011: updateBody x 0.958086
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.488142
Wed Mar 09 21:46:35 2011: updateBody x 1.263676
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.637188
Wed Mar 09 21:46:35 2011: updateBody x 1.590505
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.730904
Wed Mar 09 21:46:35 2011: updateBody x 1.945862
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.765121
Wed Mar 09 21:46:35 2011: updateBody x 2.268075
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.742589
Wed Mar 09 21:46:35 2011: updateBody x 2.566233
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.673754
Wed Mar 09 21:46:35 2011: updateBody x 2.864646
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.550147
Wed Mar 09 21:46:35 2011: updateBody x 3.125555
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.390262
Wed Mar 09 21:46:35 2011: updateBody x 3.380200
Wed Mar 09 21:46:35 2011: updateBody y 5.000000
Wed Mar 09 21:46:35 2011: updateBody z 1.164970
Wed Mar 09 21:46:36 2011: updateBody x 3.574840
